Date,UFC Vegetable Oil (1 Liter),Vegetable Oil Quality,Baguio Coconut Oil  (1 Liter),Coconut Oil Quality,Silver Swan Soy Sauce (1 Liter),Soy Sauce Quality,Silver Swan Vinegar  (1 Liter),Vinegar Quality
2023-03-25,,,,,,,,
2023-04-01,,,,,,,,
2023-04-08,136.25 ,,206.75 ,,,,,
2023-04-15,136.25 ,,206.75 ,,,,,
2023-04-29,136.25 ,,206.75 ,,,,,
2023-05-07,136.25 ,Brand,206.75 ,Brand,,,,
2023-05-14,136.25 ,Brand,206.75 ,Brand,,,,
2023-05-20,136.25 ,Brand,206.75 ,Brand,51.20 ,Brand,42.20 ,Brand
2023-05-27,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-06-10,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-06-17,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-07-01,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-07-08,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-07-15,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-07-29,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-08-05,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,42.10 ,Brand
2023-08-12,136.25 ,Brand,206.75 ,Brand,54.35 ,Brand,38.90 ,Brand
2023-08-26,123.50 ,Brand,172.80 ,Brand,54.35 ,Brand,38.90 ,Brand
2023-11-11,123.50 ,Brand,172.80 ,Brand,55.95 ,Brand,42.30 ,Brand
2023-11-25,123.50 ,Brand,172.80 ,Brand,55.95 ,Brand,42.30 ,Brand
2023-12-02,123.50 ,Brand,172.80 ,Brand,55.95 ,Brand,42.30 ,Brand
2023-12-09,123.50 ,Brand,172.80 ,Brand,55.95 ,Brand,42.30 ,Brand
2023-12-16,123.50 ,Brand,172.80 ,Brand,55.95 ,Brand,42.30 ,Brand
2024-01-06,123.50 ,Brand,185.00 ,Brand,55.95 ,Brand,42.10 ,Brand
2024-01-20,123.50 ,Brand,185.00 ,Brand,55.95 ,Brand,42.10 ,Brand
2024-02-04,123.50 ,Brand,135.30 ,Brand,55.95 ,Brand,42.30 ,Brand
2024-02-24,123.50 ,Brand,135.30 ,Brand,55.95 ,Brand,42.30 ,Brand
2024-03-02,123.50 ,Brand,135.30 ,Brand,55.95 ,Brand,42.30 ,Brand
2024-03-22,123.50 ,Brand,135.30 ,Brand,55.95 ,Brand,42.30 ,Brand
