Date,Princess Bea Premium Rice (1 Kilo),Premium Rice Quality,Potato (1 Kilo),Potato Quality,Corn Rice #12 (1 Kilo),Corn Rice #12 Quality
2023-03-25,45.00,,,,,
2023-04-01,45.00,,95.00,,,
2023-04-08,45.00,Brand,80.00,,36.00,Normal
2023-04-15,45.00,Brand,75.00,,37.00,Normal
2023-04-29,45.00,Brand,110.00,,37.00,Normal
2023-05-07,45.00,Brand,70.00,Normal,37.00,Normal
2023-05-14,45.00,Brand,80.00,Normal,37.00,Normal
2023-05-20,46.00,Brand,80.00,Normal,37.00,Normal
2023-05-27,46.00,Brand,70.00,Normal,37.00,Normal
2023-06-10,46.00,Brand,80.00,Normal,37.00,Normal
2023-06-17,46.00,Brand,100.00,Normal,37.00,Normal
2023-07-01,45.00,Brand,90.00,Normal,37.00,Normal
2023-07-08,46.00,Brand,100.00,Normal,37.00,Normal
2023-07-15,46.00,Brand,100.00,Normal,37.00,Normal
2023-07-29,47.00,Brand,100.00,Normal,37.00,Normal
2023-08-05,49.00,Brand,90.00,Normal,37.00,Normal
2023-08-12,53.00,Brand,100.00,Normal,37.00,Normal
2023-08-26,59.00,Brand,90.00,Normal,40.00,Normal
