Date,Potato (1 Kilo),Potato Quality,Carrot (1 Kilo),Carrot Quality,Cabbage (1 Kilo),Cabbage Quality,Eggplant (1 Kilo),Eggplant Quality
2023-03-25,,,,,,,,
2023-04-01,95.00,,40.00,,,,,
2023-04-08,80.00,,30.00,,30.00,,,
2023-04-15,75.00,,30.00,,30.00,,45.00,
2023-04-29,110.00,,40.00,,30.00,,35.00,
2023-05-07,70.00,Normal,70.00,Small,35.00, Normal,35.00,Normal
2023-05-14,80.00,Normal,70.00, Small,35.00, Normal,35.00,Normal
2023-05-20,80.00,Normal,70.00,Small,30.00, Normal,35.00,Normal
2023-05-27,70.00,Normal,30.00,Small,30.00, Normal,30.00,Normal
2023-06-10,80.00,Normal,40.00,Small,30.00, Normal,35.00,Normal
2023-06-17,100.00,Normal,40.00,Small,30.00, Normal,30.00,Normal
2023-07-01,90.00,Normal,40.00,Small,40.00, Normal,35.00,Normal
2023-07-08,100.00,Normal,40.00,Small,40.00, Normal,35.00,Normal
2023-07-15,100.00,Normal,100.00,Normal,40.00, Normal,35.00,Normal
2023-07-29,100.00,Normal,70.00,Normal,40.00, Normal,35.00,Normal
2023-08-05,90.00,Normal,100.00,Normal,30.00, Normal,40.00,Normal
2023-08-12,100.00,Normal,55.00,Normal,80.00, Normal,40.00,Normal
